t_step,action_i,action_j,true_i,true_j,true_c,obs_i,obs_j,obs_c,reward,wall_clock_time
0.0,-1.0,-1.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.006111860275268555
1.0,1.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.005919933319091797
2.0,-1.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.005891084671020508
3.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.005878925323486328
4.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,-1.0,0.00586700439453125
5.0,0.0,-1.0,6.0,2.0,0.0,6.0,2.0,0.0,-1.0,0.005856037139892578
6.0,-1.0,0.0,7.0,1.0,0.0,7.0,1.0,0.0,-1.0,0.005914211273193359
7.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.006167173385620117
8.0,0.0,-1.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.005917787551879883
9.0,-1.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.0059337615966796875
10.0,-1.0,-1.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.005896091461181641
11.0,-1.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.005933046340942383
12.0,1.0,0.0,7.0,1.0,0.0,7.0,1.0,0.0,-1.0,0.005925178527832031
13.0,1.0,1.0,7.0,2.0,1.0,7.0,2.0,1.0,-1.0,0.005933046340942383
14.0,0.0,0.0,7.0,3.0,2.0,7.0,3.0,2.0,-10.0,0.0059299468994140625
15.0,1.0,1.0,6.0,3.0,0.0,6.0,3.0,0.0,-1.0,0.005972862243652344
16.0,1.0,-1.0,7.0,3.0,2.0,7.0,3.0,2.0,-10.0,0.0059566497802734375
17.0,0.0,0.0,6.0,3.0,0.0,6.0,3.0,0.0,-1.0,0.005927085876464844
18.0,1.0,1.0,5.0,4.0,2.0,5.0,4.0,2.0,-10.0,0.005922079086303711
19.0,1.0,-1.0,6.0,5.0,0.0,6.0,5.0,0.0,-1.0,0.0059010982513427734
20.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,-10.0,0.005944013595581055
21.0,-1.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,-10.0,0.005918025970458984
22.0,-1.0,0.0,4.0,3.0,2.0,4.0,3.0,2.0,-10.0,0.005897998809814453
23.0,-1.0,-1.0,4.0,2.0,1.0,4.0,2.0,1.0,-1.0,0.005928993225097656
24.0,-1.0,-1.0,5.0,1.0,0.0,5.0,1.0,0.0,-1.0,0.005964994430541992
25.0,-1.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.006021976470947266
26.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.0059261322021484375
27.0,-1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,-1.0,0.006009817123413086
28.0,-1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,-1.0,0.005971193313598633
29.0,0.0,-1.0,3.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.005957841873168945
30.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.0,0.005990266799926758
31.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.005959749221801758
32.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0059659481048583984
33.0,1.0,-1.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.005990266799926758
34.0,-1.0,-1.0,3.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.00598907470703125
35.0,0.0,-1.0,3.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.005984067916870117
36.0,-1.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.005883216857910156
37.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.005848884582519531
38.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.0,0.00590205192565918
39.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.0,0.005856990814208984
40.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.005882740020751953
41.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.005872249603271484
42.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.005856037139892578
43.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.005959033966064453
44.0,-1.0,-1.0,2.0,1.0,0.0,2.0,1.0,0.0,-1.0,0.00598597526550293
45.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0060291290283203125
46.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,-1.0,0.005939006805419922
47.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,-1.0,0.005953073501586914
48.0,-1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,-10.0,0.005923271179199219
49.0,-1.0,-1.0,3.0,1.0,1.0,3.0,1.0,1.0,-1.0,0.005911111831665039
50.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.0,0.0058901309967041016
51.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,-1.0,0.005877971649169922
52.0,0.0,-1.0,2.0,3.0,2.0,2.0,3.0,2.0,-10.0,0.005911111831665039
53.0,-1.0,-1.0,3.0,3.0,2.0,3.0,3.0,2.0,-10.0,0.005957126617431641
54.0,-1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,-1.0,0.005887031555175781
55.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,-1.0,0.005960941314697266
56.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,-1.0,0.005976676940917969
57.0,1.0,-1.0,1.0,3.0,0.0,1.0,3.0,0.0,-1.0,0.006001949310302734
58.0,-1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,-1.0,0.006029844284057617
59.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.00598597526550293
60.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.006031990051269531
61.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.006009101867675781
62.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.005987882614135742
63.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.006022930145263672
64.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0059778690338134766
65.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,-1.0,0.0060460567474365234
66.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,-1.0,0.00597691535949707
67.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0059108734130859375
68.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,-1.0,0.005934715270996094
69.0,1.0,-1.0,2.0,2.0,0.0,2.0,2.0,0.0,-1.0,0.0060160160064697266
70.0,0.0,-1.0,3.0,1.0,0.0,3.0,1.0,0.0,-1.0,0.0060422420501708984
71.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.005987882614135742
72.0,0.0,-1.0,3.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.0060040950775146484
73.0,-1.0,-1.0,4.0,1.0,0.0,4.0,1.0,0.0,-1.0,0.005998849868774414
74.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,-1.0,0.005979061126708984
75.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.006071805953979492
76.0,0.0,-1.0,4.0,1.0,0.0,4.0,1.0,0.0,-1.0,0.005930185317993164
77.0,-1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,-1.0,0.005911827087402344
78.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.0058901309967041016
79.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,-1.0,0.005946159362792969
80.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.005923032760620117
81.0,-1.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.005893230438232422
82.0,1.0,-1.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.0059587955474853516
83.0,0.0,-1.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.0058879852294921875
84.0,0.0,-1.0,7.0,1.0,0.0,7.0,1.0,0.0,-1.0,0.005903959274291992
85.0,-1.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.0059850215911865234
86.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.0058748722076416016
87.0,1.0,-1.0,7.0,1.0,0.0,7.0,1.0,0.0,-1.0,0.005890846252441406
88.0,-1.0,-1.0,7.0,1.0,0.0,7.0,1.0,0.0,-1.0,0.005927085876464844
89.0,1.0,-1.0,7.0,1.0,1.0,7.0,1.0,1.0,-1.0,0.005873918533325195
90.0,0.0,-1.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.005944728851318359
91.0,0.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,-1.0,0.005918979644775391
92.0,-1.0,-1.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.005903005599975586
93.0,1.0,0.0,7.0,1.0,1.0,7.0,1.0,1.0,-1.0,0.0058727264404296875
94.0,-1.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.005936861038208008
95.0,1.0,1.0,5.0,1.0,0.0,5.0,1.0,0.0,-1.0,0.0060558319091796875
96.0,1.0,-1.0,6.0,2.0,0.0,6.0,2.0,0.0,-1.0,0.005940914154052734
97.0,-1.0,1.0,6.0,1.0,0.0,6.0,1.0,0.0,-1.0,0.0059051513671875
98.0,0.0,1.0,5.0,1.0,0.0,5.0,1.0,0.0,-1.0,0.005922079086303711
99.0,-1.0,-1.0,6.0,1.0,0.0,6.0,1.0,0.0,-1.0,0.005918025970458984
